전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
107.3,86.78,67.6,3.7,0.03,29.27,39.57,18.79,2.85,4.1,4.07,1.2,1.51,0.52,0.86,923116,3.03,0.5,4.9,-4.2,0.7,0.1,3,35.6,30.6,566.3,717.2,617.2,1092.7,1698.3
100.7,87.12,75.6,3.6,0.02,20.76,24.33,16.77,2.95,3.8,3.77,1.08,1.43,0.45,0.76,963341,2.38,0.7,2.5,-4.2,0.7,0.5,3,35.6,32,566,740.3,605.7,1161.5,1759.3
111.1,87.47,81.3,3.3,0.03,32.78,19.85,18.6,3.11,3.71,3.66,1.28,1.41,0.41,0.7,914754,1.88,0.7,2.5,-4.2,0.7,0.5,3,35.6,32,629.5,813.3,723.8,1234.5,1742.8
113.1,87.88,77.5,3.6,0.02,24.87,60.15,22.76,3.55,3.66,3.61,1.36,1.17,0.42,0.74,928829,1.57,0.7,2.5,-1,5,0.5,3.4,34.4,32,650.8,853.5,777.5,1175.8,1872.8
107.1,88.59,87,3.6,0.01,16.33,52.64,15.83,3.57,3.89,3.85,1.11,1.1,0.47,0.81,1172536,1.46,1.3,0.7,-1,5,1.2,3.4,34.4,33.3,677,918.5,838.2,1274.8,1883
104.2,89.45,80.5,3.8,0.02,20.09,42.89,16.3,3.59,4.36,4.32,0.72,0.89,0.36,0.72,1005722,1.5,1.3,0.7,-1,5,1.2,3.4,34.4,33.3,672.8,984.8,842.4,1327.1,1904.6
101.8,90.19,59.1,3.9,0.02,41.53,15.84,20.06,3.71,4.27,4.24,0.68,0.77,0.4,0.74,777259,1.63,1.3,0.7,1.2,7.7,1.2,2,34.1,33.3,687.7,1052.6,710.7,1501.8,2051
98,90.81,74.6,3.5,0.06,25.62,13.79,16.57,3.58,4.17,4.14,0.41,0.65,0.41,0.77,780352,1.75,0.9,0.3,1.2,7.7,0,2,34.1,33.3,656.4,959.8,717.1,1373.9,2069.7
113.5,91.26,80.4,3.3,0.02,28.8,21.46,18.36,3.7,4.19,4.15,0.44,0.59,0.38,0.72,921976,1.8,0.9,0.3,1.2,7.7,0,2,34.1,33.3,632.2,914.1,639.3,1294.6,1939.3
99.3,91.63,76.8,3.3,0.04,26.13,-10.04,18.56,3.83,4.01,3.98,0.43,0.37,0.39,0.66,962049,1.77,0.9,0.3,-4.2,2.1,0,1,34.1,33.3,645.8,937.4,614,1410.1,2106.7
104.3,92.08,64.1,3.3,0.02,18.95,-8.29,19.24,3.51,4.17,4.14,0.03,0.35,0.38,0.62,1142357,1.66,0.5,4.3,-4.2,2.1,1.5,1,34.1,34.8,661.9,900.9,606.4,1505.1,2192.4
104.3,92.59,74,3.2,0.01,11.15,-1.13,21,3.56,4.24,4.21,0.08,0.39,0.36,0.64,1144471,1.52,0.5,4.3,-4.2,2.1,1.5,1,34.1,34.8,571.4,800.5,510.8,1213.5,2142.5
101.3,92.95,72.2,3.3,0.01,26.25,5.62,28.05,3.58,3.97,3.96,0.06,0.29,0.47,0.84,918725,1.38,0.5,4.3,1.7,1.6,1.5,1.4,34.8,34.8,604.3,879.3,555.7,1318.1,2100.7
98.9,93.32,69,3.2,0.01,25.52,0.89,40.56,3.48,4.03,4,-0.06,0.29,0.45,0.9,932759,1.25,0.5,-1.5,1.7,1.6,-0.3,1.4,34.8,31.2,584.2,900.2,520.6,1291.6,2133.2
96.3,93.48,70.3,3.2,0.02,12.65,0.37,31.02,3.5,4,3.97,-0.09,0.29,0.46,0.9,879791,1.13,0.5,-1.5,1.7,1.6,-0.3,1.4,34.8,31.2,563,895.3,513.5,1139.3,1880.1
